Respondent,DatabaseWorkedWith
426,MySQL
426,MariaDB
426,Amazon RDS/Aurora
427,MongoDB
427,SQLite
427,Google BigQuery
427,Google Cloud Storage
427,Neo4j
427,Elasticsearch
428,MySQL
428,PostgreSQL
428,SQLite
431,SQL Server
432,SQL Server
432,Elasticsearch
434,MongoDB
434,SQL Server
435,MongoDB
435,Redis
435,MySQL
435,PostgreSQL
435,Elasticsearch
436,MySQL
436,MariaDB
438,SQL Server
439,MongoDB
439,MySQL
439,Oracle
439,MariaDB
439,"Microsoft Azure (Tables, CosmosDB, SQL, etc)"
443,SQL Server
443,MySQL
444,MySQL
444,MariaDB
444,Amazon RDS/Aurora
444,Google Cloud Storage
445,MySQL
445,Oracle
445,MariaDB
446,MySQL
446,PostgreSQL
446,Apache Hive
446,Amazon Redshift
446,Amazon RDS/Aurora
446,"Microsoft Azure (Tables, CosmosDB, SQL, etc)"
448,MongoDB
448,Redis
448,SQL Server
448,MySQL
448,MariaDB
449,IBM Db2
452,MongoDB
452,SQL Server
452,MySQL
452,Amazon RDS/Aurora
452,Google BigQuery
452,Elasticsearch
453,MongoDB
453,PostgreSQL
460,SQL Server
464,MongoDB
464,MySQL
464,Elasticsearch
466,PostgreSQL
467,SQLite
468,Redis
468,MySQL
468,Amazon DynamoDB
468,Amazon Redshift
468,Amazon RDS/Aurora
469,MongoDB
469,SQL Server
469,MySQL
470,MySQL
472,SQL Server
472,MySQL
475,SQL Server
475,MySQL
477,SQL Server
477,MySQL
477,SQLite
481,SQL Server
483,MongoDB
483,Redis
483,SQLite
483,Google BigQuery
483,Google Cloud Storage
484,MongoDB
484,Oracle
486,SQLite
487,MongoDB
487,SQL Server
487,Memcached
487,"Microsoft Azure (Tables, CosmosDB, SQL, etc)"
488,Cassandra
488,MongoDB
488,Redis
488,Neo4j
490,PostgreSQL
490,Elasticsearch
491,SQL Server
491,MySQL
491,PostgreSQL
495,SQL Server
495,MySQL
497,SQL Server
497,MySQL
501,MySQL
501,MariaDB
501,Amazon RDS/Aurora
502,MySQL
502,Google BigQuery
506,Redis
506,MySQL
506,Apache HBase
506,Apache Hive
506,Memcached
507,PostgreSQL
507,IBM Db2
507,Amazon RDS/Aurora
508,SQL Server
508,MySQL
509,SQL Server
509,PostgreSQL
513,MongoDB
513,MySQL
514,SQL Server
514,MySQL
515,SQL Server
515,MySQL
516,SQL Server
516,MySQL
516,MariaDB
518,SQLite
518,Google Cloud Storage
519,Cassandra
519,MySQL
520,SQL Server
520,MySQL
520,PostgreSQL
520,SQLite
520,Oracle
521,MySQL
521,SQLite
522,Cassandra
522,MongoDB
522,Redis
522,SQL Server
522,MySQL
522,PostgreSQL
522,Oracle
522,IBM Db2
522,Amazon DynamoDB
522,Apache HBase
522,Apache Hive
522,Memcached
522,Amazon Redshift
522,Amazon RDS/Aurora
522,Google BigQuery
522,"Microsoft Azure (Tables, CosmosDB, SQL, etc)"
522,Google Cloud Storage
522,Elasticsearch
523,MongoDB
523,SQL Server
523,PostgreSQL
523,Amazon RDS/Aurora
524,SQL Server
524,PostgreSQL
524,SQLite
524,Amazon DynamoDB
526,SQL Server
526,Oracle
528,Redis
528,PostgreSQL
533,Redis
533,SQL Server
533,MySQL
533,Amazon DynamoDB
533,Apache Hive
534,MongoDB
534,MySQL
534,SQLite
534,Google Cloud Storage
534,Elasticsearch
535,SQL Server
535,MySQL
535,PostgreSQL
535,"Microsoft Azure (Tables, CosmosDB, SQL, etc)"
538,Cassandra
538,MySQL
543,MongoDB
543,MySQL
543,IBM Db2
543,Google Cloud Storage
546,MySQL
546,Amazon DynamoDB
546,Elasticsearch
548,MySQL
548,PostgreSQL
548,Elasticsearch
549,SQL Server
549,MySQL
550,Oracle
553,SQL Server
553,MySQL
553,PostgreSQL
555,Google Cloud Storage
556,SQL Server
556,PostgreSQL
558,Redis
558,PostgreSQL
558,Amazon DynamoDB
562,MySQL
565,SQL Server
565,"Microsoft Azure (Tables, CosmosDB, SQL, etc)"
566,Redis
566,MySQL
566,Google Cloud Storage
570,"Microsoft Azure (Tables, CosmosDB, SQL, etc)"
573,SQL Server
574,MySQL
575,SQL Server
576,Redis
576,PostgreSQL
576,Amazon RDS/Aurora
576,Elasticsearch
579,SQL Server
579,MySQL
579,Oracle
580,SQL Server
580,MySQL
580,SQLite
580,MariaDB
583,MySQL
584,SQL Server
584,SQLite
585,SQL Server
585,MySQL
585,PostgreSQL
585,SQLite
585,Oracle
585,MariaDB
585,Google Cloud Storage
587,MongoDB
587,Redis
587,SQL Server
587,MySQL
587,PostgreSQL
587,MariaDB
587,Memcached
587,Neo4j
587,Elasticsearch
589,SQL Server
589,MySQL
589,Oracle
591,MySQL
591,SQLite
592,SQL Server
592,MySQL
593,SQL Server
593,MySQL
593,SQLite
594,MongoDB
594,MySQL
594,SQLite
594,MariaDB
594,Memcached
596,Cassandra
596,MongoDB
596,Redis
596,Memcached
596,Amazon Redshift
596,Amazon RDS/Aurora
596,Elasticsearch
597,SQLite
599,MongoDB
599,Redis
600,SQL Server
600,MySQL
600,PostgreSQL
602,MongoDB
602,SQL Server
602,MySQL
602,PostgreSQL
602,Elasticsearch
606,Redis
606,MySQL
606,PostgreSQL
606,MariaDB
607,SQL Server
607,Neo4j
608,SQL Server
613,Redis
613,PostgreSQL
613,IBM Db2
613,Elasticsearch
614,SQL Server
615,MongoDB
615,SQL Server
615,MySQL
615,PostgreSQL
615,SQLite
615,Oracle
615,Elasticsearch
616,MySQL
616,MariaDB
619,MySQL
619,PostgreSQL
622,SQL Server
622,Oracle
622,Google Cloud Storage
623,SQL Server
623,PostgreSQL
623,Amazon DynamoDB
623,Amazon RDS/Aurora
623,Elasticsearch
624,PostgreSQL
624,SQLite
624,IBM Db2
628,SQL Server
629,Redis
629,MySQL
629,MariaDB
631,MongoDB
631,MySQL
631,PostgreSQL
631,SQLite
631,MariaDB
631,IBM Db2
632,SQL Server
632,MySQL
632,Oracle
633,SQL Server
633,MySQL
633,SQLite
633,MariaDB
634,MongoDB
634,Redis
634,SQL Server
634,MySQL
634,"Microsoft Azure (Tables, CosmosDB, SQL, etc)"
634,Elasticsearch
640,SQLite
642,SQL Server
642,MySQL
643,MongoDB
643,MySQL
643,PostgreSQL
643,MariaDB
645,Redis
645,MySQL
645,Amazon Redshift
645,Amazon RDS/Aurora
646,MongoDB
646,MySQL
651,MySQL
654,MongoDB
654,SQL Server
654,MySQL
654,SQLite
654,MariaDB
656,MongoDB
656,Redis
656,MySQL
656,PostgreSQL
656,SQLite
656,MariaDB
656,Memcached
656,Elasticsearch
661,MongoDB
661,SQL Server
661,MySQL
662,MongoDB
665,SQL Server
666,"Microsoft Azure (Tables, CosmosDB, SQL, etc)"
667,SQL Server
667,MySQL
667,MariaDB
669,Cassandra
669,Redis
669,MySQL
669,Apache Hive
669,Elasticsearch
671,SQL Server
672,Redis
672,MySQL
672,SQLite
675,MySQL
675,SQLite
675,MariaDB
676,MongoDB
676,MySQL
676,MariaDB
679,PostgreSQL
679,SQLite
681,MySQL
681,MariaDB
685,PostgreSQL
685,MariaDB
685,IBM Db2
686,SQL Server
689,SQL Server
689,MySQL
689,PostgreSQL
689,SQLite
689,MariaDB
691,MySQL
691,MariaDB
692,MongoDB
692,SQL Server
692,MySQL
692,"Microsoft Azure (Tables, CosmosDB, SQL, etc)"
692,Google Cloud Storage
693,MySQL
695,SQL Server
695,MySQL
695,PostgreSQL
697,SQL Server
700,MySQL
701,SQLite
704,MongoDB
704,SQL Server
704,MySQL
704,SQLite
705,SQL Server
705,MySQL
705,Apache Hive
706,MySQL
706,Oracle
708,MongoDB
708,SQL Server
708,MySQL
709,MongoDB
709,Redis
710,MongoDB
710,PostgreSQL
710,Amazon DynamoDB
710,Google Cloud Storage
712,MySQL
714,Amazon DynamoDB
714,Amazon Redshift
714,Elasticsearch
715,MySQL
719,Redis
719,MySQL
719,PostgreSQL
720,SQL Server
721,MongoDB
721,SQL Server
721,MySQL
722,Cassandra
722,SQL Server
722,MySQL
722,Oracle
722,IBM Db2
722,Apache Hive
722,"Microsoft Azure (Tables, CosmosDB, SQL, etc)"
722,Neo4j
726,SQL Server
727,MySQL
727,MariaDB
727,Memcached
727,Elasticsearch
728,MySQL
729,PostgreSQL
729,SQLite
729,Amazon DynamoDB
730,MongoDB
730,SQL Server
730,SQLite
731,MongoDB
731,Redis
731,SQL Server
731,MySQL
731,PostgreSQL
732,SQL Server
732,MySQL
732,SQLite
733,MySQL
734,PostgreSQL
738,Redis
738,MySQL
738,PostgreSQL
738,Amazon Redshift
738,Amazon RDS/Aurora
738,Elasticsearch
739,SQL Server
740,PostgreSQL
740,Amazon Redshift
742,SQLite
742,"Microsoft Azure (Tables, CosmosDB, SQL, etc)"
744,PostgreSQL
744,Elasticsearch
746,SQL Server
746,MySQL
746,Amazon RDS/Aurora
749,MySQL
751,SQL Server
751,MySQL
753,SQL Server
755,MySQL
755,PostgreSQL
755,Amazon Redshift
756,MongoDB
756,Redis
756,SQL Server
756,MySQL
756,Oracle
756,MariaDB
756,Memcached
756,Amazon RDS/Aurora
756,Neo4j
756,Elasticsearch
758,SQL Server
758,MySQL
759,MySQL
759,PostgreSQL
759,MariaDB
759,Amazon RDS/Aurora
760,SQLite
760,"Microsoft Azure (Tables, CosmosDB, SQL, etc)"
760,Elasticsearch
761,MySQL
761,PostgreSQL
762,MongoDB
762,PostgreSQL
763,SQL Server
763,Oracle
764,Redis
764,MySQL
764,PostgreSQL
764,SQLite
764,MariaDB
764,Amazon RDS/Aurora
766,MongoDB
766,MySQL
766,MariaDB
766,Google Cloud Storage
767,MongoDB
767,"Microsoft Azure (Tables, CosmosDB, SQL, etc)"
769,MySQL
769,Memcached
770,Redis
770,PostgreSQL
770,SQLite
770,Google Cloud Storage
770,Elasticsearch
771,SQL Server
771,MySQL
771,Oracle
772,SQL Server
773,MongoDB
773,MySQL
773,PostgreSQL
774,MongoDB
774,Redis
774,PostgreSQL
774,MariaDB
774,Memcached
775,SQL Server
775,MySQL
778,MySQL
781,SQL Server
781,PostgreSQL
782,SQL Server
782,MySQL
784,MongoDB
784,SQL Server
784,MySQL
784,SQLite
784,Oracle
784,Elasticsearch
785,MongoDB
785,SQL Server
785,SQLite
786,Redis
786,MySQL
787,MongoDB
787,Redis
787,MySQL
787,PostgreSQL
787,Oracle
790,MySQL
790,Elasticsearch
797,MySQL
799,SQL Server
799,PostgreSQL
800,Cassandra
800,MongoDB
800,PostgreSQL
804,PostgreSQL
805,MySQL
805,PostgreSQL
807,MySQL
807,PostgreSQL
807,Amazon DynamoDB
807,Amazon Redshift
807,Amazon RDS/Aurora
807,Google BigQuery
808,Cassandra
808,SQL Server
808,MySQL
808,PostgreSQL
808,MariaDB
808,Google Cloud Storage
809,SQL Server
809,MySQL
810,SQL Server
812,Redis
812,SQL Server
812,Elasticsearch
814,SQL Server
814,MySQL
814,SQLite
814,Oracle
814,"Microsoft Azure (Tables, CosmosDB, SQL, etc)"
816,Redis
816,MySQL
816,MariaDB
816,Memcached
816,"Microsoft Azure (Tables, CosmosDB, SQL, etc)"
816,Elasticsearch
818,Redis
818,PostgreSQL
818,Amazon RDS/Aurora
818,Elasticsearch
820,MySQL
820,PostgreSQL
823,SQL Server
826,MySQL
826,Elasticsearch
828,SQL Server
828,MySQL
828,MariaDB
832,Oracle
838,MongoDB
838,MySQL
838,Oracle
839,SQL Server
839,MySQL
839,Oracle
839,MariaDB
839,"Microsoft Azure (Tables, CosmosDB, SQL, etc)"
840,Cassandra
840,MongoDB
841,Apache HBase
841,Apache Hive
842,MongoDB
842,PostgreSQL
842,Amazon DynamoDB
842,Amazon RDS/Aurora
842,Elasticsearch
843,SQL Server
843,MySQL
843,SQLite
845,MySQL
845,SQLite
845,Memcached
845,Elasticsearch
847,MySQL
847,SQLite
848,MongoDB
848,Redis
848,Oracle
848,Amazon DynamoDB
848,Amazon RDS/Aurora
848,Elasticsearch
850,SQL Server
851,Redis
851,MySQL
851,PostgreSQL
851,Amazon RDS/Aurora
852,SQL Server
854,SQL Server
857,MongoDB
857,SQL Server
857,MySQL
857,PostgreSQL
857,MariaDB
857,Amazon DynamoDB
860,SQL Server
861,MySQL
861,PostgreSQL
861,Amazon RDS/Aurora
865,MongoDB
865,Redis
865,SQL Server
865,MySQL
865,PostgreSQL
865,MariaDB
865,"Microsoft Azure (Tables, CosmosDB, SQL, etc)"
865,Elasticsearch
868,SQL Server
868,MySQL
868,PostgreSQL
868,Amazon DynamoDB
868,Memcached
868,Amazon Redshift
868,Amazon RDS/Aurora
869,MongoDB
874,SQL Server
876,MySQL
876,Elasticsearch
879,MongoDB
879,SQL Server
881,Redis
881,SQL Server
881,MySQL
881,PostgreSQL
881,MariaDB
881,Memcached
881,Google Cloud Storage
881,Elasticsearch
882,SQL Server
883,MySQL
883,SQLite
883,MariaDB
884,PostgreSQL
884,Neo4j
884,Elasticsearch
887,PostgreSQL
890,Redis
890,SQL Server
890,"Microsoft Azure (Tables, CosmosDB, SQL, etc)"
890,Elasticsearch
892,MySQL
892,MariaDB
896,SQL Server
896,PostgreSQL
897,SQL Server
898,SQL Server
898,MySQL
898,"Microsoft Azure (Tables, CosmosDB, SQL, etc)"
905,MySQL
907,MySQL
907,PostgreSQL
908,MySQL
909,MongoDB
909,Redis
909,SQL Server
909,Amazon DynamoDB
909,Amazon Redshift
909,Amazon RDS/Aurora
909,"Microsoft Azure (Tables, CosmosDB, SQL, etc)"
912,SQL Server
912,MySQL
912,Google Cloud Storage
922,SQL Server
923,MongoDB
923,MySQL
923,PostgreSQL
923,SQLite
927,MongoDB
927,SQL Server
927,Elasticsearch
928,MySQL
929,SQL Server
929,MySQL
929,MariaDB
932,MySQL
933,Redis
933,MySQL
933,MariaDB
933,Elasticsearch
936,SQLite
936,Google Cloud Storage
937,SQL Server
937,PostgreSQL
939,SQL Server
940,MongoDB
940,MySQL
940,Memcached
940,Elasticsearch
941,MongoDB
941,Redis
941,SQL Server
941,MySQL
941,SQLite
941,MariaDB
941,Memcached
942,MySQL
942,Oracle
943,SQL Server
943,MySQL
944,SQL Server
944,PostgreSQL
946,MySQL
946,PostgreSQL
946,Amazon RDS/Aurora
947,SQL Server
948,MySQL
949,SQL Server
952,Oracle
954,Oracle
957,MySQL
957,SQLite
962,SQL Server
963,PostgreSQL
964,MongoDB
964,Redis
964,SQL Server
964,MySQL
964,PostgreSQL
964,Oracle
964,MariaDB
964,Google BigQuery
964,"Microsoft Azure (Tables, CosmosDB, SQL, etc)"
964,Google Cloud Storage
968,PostgreSQL
969,SQL Server
972,MySQL
972,Amazon DynamoDB
983,SQL Server
984,MySQL
984,PostgreSQL
984,Memcached
984,Amazon Redshift
984,Amazon RDS/Aurora
984,Elasticsearch
986,MongoDB
986,MySQL
986,SQLite
986,Oracle
988,Redis
988,"Microsoft Azure (Tables, CosmosDB, SQL, etc)"
991,SQL Server
991,SQLite
997,MySQL
997,SQLite
997,Elasticsearch
999,MySQL
1000,MongoDB
1000,PostgreSQL
1000,Neo4j
1001,SQL Server
1001,MySQL
1001,PostgreSQL
1001,"Microsoft Azure (Tables, CosmosDB, SQL, etc)"
1006,MySQL
1007,Redis
1007,MySQL
1007,PostgreSQL
1008,PostgreSQL
1009,MongoDB
1010,Redis
1010,MySQL
1010,PostgreSQL
1010,Elasticsearch
1015,SQL Server
1015,Neo4j
1016,Redis
1016,MySQL
1016,PostgreSQL
1016,MariaDB
1016,Memcached
1018,MySQL
1018,PostgreSQL
1018,SQLite
1020,SQL Server
1020,MySQL
1021,Redis
1021,MySQL
1021,MariaDB
1023,MySQL
1024,SQL Server
1024,Oracle
1025,MongoDB
1025,Redis
1025,SQL Server
1025,MySQL
1025,PostgreSQL
1027,MongoDB
1027,PostgreSQL
1028,MongoDB
1028,SQL Server
1028,MySQL
1028,MariaDB
1030,MongoDB
1030,PostgreSQL
1030,SQLite
1034,SQL Server
1034,MySQL
1034,MariaDB
1035,SQL Server
1035,MySQL
1036,SQL Server
1036,MySQL
1036,SQLite
1036,Oracle
1036,MariaDB
1037,SQL Server
1038,SQL Server
1038,Elasticsearch
1039,Redis
1039,MySQL
1039,PostgreSQL
1039,Apache HBase
1039,Elasticsearch
1040,SQL Server
1040,PostgreSQL
1041,MongoDB
1041,MySQL
1041,PostgreSQL
1041,SQLite
1041,MariaDB
1044,SQL Server
1044,SQLite
1045,MySQL
1045,PostgreSQL
1045,SQLite
1053,Redis
1053,PostgreSQL
1053,SQLite
1053,Oracle
1053,Google Cloud Storage
1057,Oracle
1058,SQL Server
1058,MySQL
1060,SQL Server
1060,MySQL
1061,SQL Server
1061,MySQL
1061,SQLite
1061,Amazon DynamoDB
1061,Memcached
1063,SQL Server
1063,MySQL
1065,SQLite
1070,MongoDB
1070,MySQL
1070,Apache Hive
1071,SQLite
1074,SQL Server
1074,MySQL
1074,SQLite
1075,SQL Server
1075,MySQL
